PWSID,Groundwater,Surface Water,Interties
CA1100404,1,0,0
CA1100413,1,0,0
CA1100436,1,0,0
CA1100439,1,0,0
CA1100440,1,0,0
CA1100443,1,0,0
CA1100444,2,0,0
CA1100445,1,0,0
CA1100448,1,0,0
CA1100452,1,0,0
CA1100527,1,0,0
CA1100616,0,1,0
CA1100642,1,0,0
CA1100711,1,0,0
CA1100749,1,0,0
CA1105001,2,0,0
CA1105003,1,0,0
CA1105004,1,0,0
CA1105005,1,0,0
CA1105006,1,0,0
CA1105007,1,0,0
CA1110001,6,0,0
CA1110002,3,0,0
CA1110003,7,0,0
CA1110300,1,0,0
CA1110800,2,0,0
CA1200500,1,0,0
CA1200501,0,1,0
CA1200509,1,0,0
CA1200518,2,0,0
CA1200522,0,1,0
CA1200538,2,0,0
CA1200541,2,0,0
CA1200544,0,1,0
CA1200546,1,0,0
CA1200547,2,0,0
CA1200553,0,1,0
CA1200566,0,1,0
CA1200579,1,0,0
CA1200587,0,1,0
CA1200588,0,2,0
CA1200590,1,0,0
CA1200591,2,0,0
CA1200592,2,0,0
CA1200597,1,0,0
CA1200600,0,1,0
CA1200637,1,0,0
CA1200643,0,1,0
CA1200648,0,1,0
CA1200671,0,1,0
CA1200681,1,0,0
CA1200684,2,0,0
CA1200687,1,0,0
CA1200689,1,0,0
CA1200701,2,0,0
CA1200704,0,1,0
CA1200705,1,1,0
CA1200706,0,1,0
CA1200707,2,0,0
CA1200710,1,0,0
CA1200715,2,0,0
CA1200718,1,0,0
CA1200728,1,0,0
CA1200729,0,1,0
CA1200733,0,1,0
CA1200754,3,0,0
CA1200772,0,1,0
CA1200773,1,0,0
CA1200776,1,0,0
CA1200778,1,0,0
CA1200793,1,0,0
CA1200798,2,0,0
CA1200817,1,0,0
CA1200823,1,0,0
CA1200831,0,1,0
CA1206001,1,0,0
CA1206002,0,1,0
CA1206004,1,0,0
CA1206005,1,0,0
CA1206011,2,0,0
CA1206012,0,1,0
CA1206013,1,0,0
CA1206014,1,0,0
CA1206016,2,0,0
CA1210001,2,0,1
CA1210002,1,0,1
CA1210004,3,0,3
CA1210006,5,0,0
CA1210007,3,0,0
CA1210008,1,1,0
CA1210009,11,0,9
CA1210010,0,1,0
CA1210011,0,1,0
CA1210012,2,1,0
CA1210013,5,0,0
CA1210015,2,3,0
CA1210016,1,0,1
CA1210017,1,0,1
CA1210018,0,1,0
CA1210019,2,0,0
CA1210020,1,0,1
CA1210021,1,0,1
CA1210022,12,1,0
CA1210023,1,0,0
CA1210024,1,4,0
CA1210307,0,1,0
CA1210308,0,3,0
CA1210312,0,1,0
CA1210314,1,0,0
CA1210319,1,1,0
CA1210320,0,1,0
CA1210321,1,0,0
CA1210322,1,0,0
CA1210324,1,0,0
CA1210800,0,1,0
CA1210801,0,1,0
CA1300009,2,0,0
CA1300018,0,1,0
CA1300513,2,0,0
CA1300514,2,0,0
CA1300517,3,0,0
CA1300540,1,0,0
CA1300544,0,1,0
CA1300546,2,0,0
CA1300549,0,1,0
CA1300550,0,1,0
CA1300553,0,1,0
CA1300554,0,1,0
CA1300555,2,0,0
CA1300556,0,1,1
CA1300559,1,0,0
CA1300560,0,1,0
CA1300561,0,1,0
CA1300564,1,0,0
CA1300572,0,1,0
CA1300574,1,0,0
CA1300575,0,1,0
CA1300579,0,2,0
CA1300588,2,0,0
CA1300591,2,0,0
CA1300614,0,1,0
CA1300616,2,0,0
CA1300617,1,0,0
CA1300620,0,1,0
CA1300622,2,0,0
CA1300624,1,0,0
